truck_id: TRK00001, month: 2022-01-01, trips_completed: 22, total_miles: 39269, total_revenue: 84792.02, average_mpg: 6.78, maintenance_events: 2, maintenance_cost: 4380.98, downtime_hours: 63.1, utilization_rate: 0.71
truck_id: TRK00001, month: 2022-02-01, trips_completed: 27, total_miles: 40787, total_revenue: 88809.05, average_mpg: 6.23, maintenance_events: 0, maintenance_cost: 0.0, downtime_hours: 0.0, utilization_rate: 0.964
truck_id: TRK00001, month: 2022-03-01, trips_completed: 34, total_miles: 57422, total_revenue: 120453.71, average_mpg: 6.49, maintenance_events: 0, maintenance_cost: 0.0, downtime_hours: 0.0, utilization_rate: 1.097
truck_id: TRK00001, month: 2022-04-01, trips_completed: 20, total_miles: 34428, total_revenue: 73531.28, average_mpg: 6.5, maintenance_events: 2, maintenance_cost: 3548.15, downtime_hours: 71.8, utilization_rate: 0.667
truck_id: TRK00001, month: 2022-05-01, trips_completed: 16, total_miles: 20851, total_revenue: 40791.53, average_mpg: 6.38, maintenance_events: 1, maintenance_cost: 1969.42, downtime_hours: 43.9, utilization_rate: 0.516
truck_id: TRK00001, month: 2022-06-01, trips_completed: 31, total_miles: 47085, total_revenue: 101659.37, average_mpg: 6.46, maintenance_events: 0, maintenance_cost: 0.0, downtime_hours: 0.0, utilization_rate: 1.033
truck_id: TRK00001, month: 2022-07-01, trips_completed: 28, total_miles: 38038, total_revenue: 84143.99, average_mpg: 6.54, maintenance_events: 0, maintenance_cost: 0.0, downtime_hours: 0.0, utilization_rate: 0.903
truck_id: TRK00001, month: 2022-08-01, trips_completed: 27, total_miles: 35902, total_revenue: 82253.78, average_mpg: 6.3, maintenance_events: 1, maintenance_cost: 382.57, downtime_hours: 20.4, utilization_rate: 0.871
truck_id: TRK00001, month: 2022-09-01, trips_completed: 24, total_miles: 40898, total_revenue: 88581.76, average_mpg: 6.56, maintenance_events: 1, maintenance_cost: 3372.41, downtime_hours: 46.5, utilization_rate: 0.8
truck_id: TRK00001, month: 2022-10-01, trips_completed: 37, total_miles: 51364, total_revenue: 108130.03, average_mpg: 6.42, maintenance_events: 2, maintenance_cost: 1744.63, downtime_hours: 58.7, utilization_rate: 1.194
truck_id: TRK00001, month: 2022-11-01, trips_completed: 27, total_miles: 40313, total_revenue: 79626.57, average_mpg: 6.45, maintenance_events: 1, maintenance_cost: 2103.04, downtime_hours: 25.2, utilization_rate: 0.9
